logr,z,step,barT,x,cls_deep,cls_prod,mid_deep,mid_prod,a_deep,a_prod,da,bhi_deep,bhi_prod,dlog_bhi,nuM_deep,nuM_prod,sep_deep,s1_deep,off_deep,depth_deep,bias_deep,total
-5.0,4,3,0.00010272429083313384,7.865170308252521e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,3.371849907031076,3.371849907031076,0.0,42467.42412972199,42467.42412972199,0.9617486699766731,1.601634301105939,9.566119564422369,10.527868234399042,nan,nan
-5.0,4,6,0.0001055227992716734,8.079440421968371e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,2.8597848187757697,2.8597848187757697,0.0,42022.47119301566,42022.47119301566,1.1501710629378163,1.6619654056012758,9.306162293431068,10.456333356368885,nan,nan
-5.0,4,9,0.00010839754721891914,8.299547876738884e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.9840835477438095,1.9840835477438095,0.0,41611.31214354201,41611.31214354201,1.2161817695118171,1.4793694923276812,9.081378186391097,10.297559955902914,nan,nan
-5.0,4,12,0.00011135061166123172,8.525651698742993e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.9863723903316584,1.9863723903316584,0.0,41611.31214354201,41611.31214354201,1.3650785096545137,1.4742776756701728,8.932982160439146,10.298060670093658,nan,nan
-5.0,4,15,0.00011438412616726623,8.757915246429809e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.6861497445578821,1.6861497445578821,0.0,41233.04304685383,41233.04304685383,1.448317670640904,1.373717318472086,8.778578470435093,10.226896141075997,nan,nan
-5.0,4,18,0.00011750028243096011,8.996506328658773e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.7015185483227884,1.7015185483227837,1.157192959863943e-15,41233.04304685383,41233.04304685383,1.5778568434564142,1.3538258888157124,8.652979844263001,10.230836687719416,nan,nan
-5.0,4,21,0.00012070133185404508,9.241597325865988e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.5259592463469729,1.5259592463469729,0.0,41233.04304685383,41233.04304685383,1.6478450881571045,1.3137618110837468,8.535697846953914,10.183542935111019,nan,nan
-5.0,4,24,0.00012398958717318997,9.49336531464776e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.5636217135514512,1.5636217135514512,0.0,41233.04304685383,41233.04304685383,1.7712407546039657,1.2760255883279676,8.422890938116913,10.194131692720878,nan,nan
-5.0,4,27,0.00012736742413044233,9.751992195659334e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.440405416000194,1.440405416000198,-1.2054093331916106e-15,41233.04304685383,41233.04304685383,1.7992447613724576,1.2793541913881017,8.359239984299975,10.158484745672434,nan,nan
-5.0,4,30,0.0001308372831902993,0.00010017664825083857,MC,MC,tangent,tangent,0.5,0.5,0.0,1.4731508219569778,1.4731508219569778,0.0,41233.04304685383,41233.04304685383,1.9096606150995714,1.2566360052950813,8.258586597317079,10.16824721241665,nan,nan
