depth,s1,off,a_edge,bias,n,bias_spread,regime
3.0,0.6,-0.25,0.7494755160283249,0.08548403711684822,3,0.0077335752374601,FC*
3.0,0.6,0.0,0.8016526178036472,0.09282552179828685,3,0.01279247187547461,FC*
3.0,0.6,0.25,0.8579733921614437,0.09938494927661405,3,0.01964628806262725,FC*
3.0,0.6,0.5,0.9165262784759244,0.10567011244714723,3,0.025793371537488285,FC*
3.0,0.6,0.75,,,0,,None
3.0,0.6,1.0,,,0,,None
3.0,0.6,1.35,,,0,,None
3.0,0.8,-0.25,0.7048738932833972,0.05978533434952771,3,0.006188123172090498,FC*
3.0,0.8,0.0,0.7680172966728868,0.06528143303425367,3,0.007943484384670407,FC*
3.0,0.8,0.25,0.8398227036884921,0.07279353665520201,3,0.012796296997654277,FC*
3.0,0.8,0.5,0.9165262784759244,0.08031886412319107,3,0.01330287165123667,FC*
3.0,0.8,0.75,0.9933701705982874,0.09813952899740053,1,0.0,None
3.0,0.8,1.0,,,0,,None
3.0,0.8,1.35,1.1505016814199747,0.0,3,0.0,MC
3.0,1.0,-0.25,0.6671286654950647,0.04081567399217637,3,0.005034471007059671,FC*
3.0,1.0,0.0,0.7376089496387398,0.04645070716207241,3,0.005780144108413432,FC*
3.0,1.0,0.25,0.8227076968676607,0.052875488223343536,3,0.009425519161727403,FC*
3.0,1.0,0.5,0.9165262784759247,0.059627012032401984,3,0.00889833685421515,FC*
3.0,1.0,0.75,1.010476980523122,0.07214838211280811,2,0.0053513989305319365,FC*
3.0,1.0,1.0,,,0,,None
3.0,1.0,1.35,1.1894681225959627,0.0,3,0.0,MC
3.0,1.2,-0.25,0.6358552410675333,0.029483599404795207,3,0.005594881876368474,FC*
3.0,1.2,0.0,0.7105340827953386,0.03247086562631426,3,0.006781650329030331,FC*
3.0,1.2,0.25,0.8067462341210417,0.038305859918717634,3,0.0077529693078634,FC*
3.0,1.2,0.5,0.9165262784759242,0.04467096037417636,3,0.0089913407942116,FC*
3.0,1.2,0.75,1.0263063228308065,0.05210382020516343,3,0.01416406963714778,FC*
3.0,1.2,1.0,1.1225184741565088,0.0,3,0.0,MC
3.0,1.2,1.35,1.2206602137829698,0.0,3,0.0,MC
3.0,1.4,-0.25,0.6103063633615246,0.01990167285230593,3,0.006555576466264923,VFC
3.0,1.4,0.0,0.6866930538861755,0.02363239253113462,3,0.007379212999271911,FC*
3.0,1.4,0.25,0.7919968603877,0.02830547958368738,3,0.008359780502954939,FC*
3.0,1.4,0.5,0.9165262784759244,0.034207575789652944,3,0.009539859311829213,FC*
3.0,1.4,0.75,1.0410556965641498,0.03856505992115037,3,0.01196071608172411,FC*
3.0,1.4,1.0,1.146359503065672,0.011178966546712391,3,0.033536899640137174,MC
3.0,1.4,1.35,1.2452492383328335,0.0,3,0.0,MC
3.0,1.7,-0.25,0.5808198353023705,0.013735871351464554,3,0.006841082371030871,VFC
3.0,1.7,0.0,0.6564737869370868,0.01475917018848553,3,0.008153828552834863,FC*
3.0,1.7,0.25,0.7721542523931783,0.0180502859296711,3,0.009245316826772987,FC*
3.0,1.7,0.5,0.9165262784759235,0.019875694328392646,3,0.011272324791919752,FC*
3.0,1.7,0.75,1.0608983045586708,0.007173702227626588,3,0.011027769519125208,FC
3.0,1.7,1.0,1.1765787700147614,0.005998260118661151,3,0.017994780355983453,MC
3.0,1.7,1.35,1.2723940698197262,0.0,3,0.0,MC
3.0,2.0,-0.25,0.5595018410542638,0.0068940275348522055,3,0.007806096078919356,VFC
3.0,2.0,0.0,0.6319939892678762,0.00854950032459382,3,0.008875972230098617,FC*
3.0,2.0,0.25,0.7549317645507174,0.010730391839862463,3,0.010136839513108842,FC*
3.0,2.0,0.5,0.9165262784759246,0.013657770859857607,3,0.011610638911138671,FC*
3.0,2.0,0.75,1.0781207924011305,0.0017025063493133301,3,0.013363027500957025,FC
3.0,2.0,1.0,1.2010585676839736,0.0035411571172765757,3,0.010623471351829727,MC
3.0,2.0,1.35,1.290975344595845,0.0,3,0.0,MC
3.0,2.5,-0.25,0.5362668020840315,0.0006126707313012236,3,0.008750668532075623,VFC
3.0,2.5,0.0,0.6011578613495305,0.0037231107334826743,3,0.00924505556376698,VFC
3.0,2.5,0.25,0.731406040705603,0.00330233885676288,3,0.011153036997144927,FC*
3.0,2.5,0.5,0.9165262784759243,0.004668862665535197,3,0.012929621802985736,FC*
3.0,2.5,0.75,1.1016465162462454,-0.0029092707947146468,3,0.014667031325397872,FC
3.0,2.5,1.0,1.2318946956023173,0.0014559607153268317,3,0.0046503409740235035,FC
3.0,2.5,1.35,1.3098567310376181,0.0,3,0.0,MC
4.0,0.6,-0.25,0.7496098132143816,0.06152397278551106,3,0.002975770864489191,FC*
4.0,0.6,0.0,0.8017869149897031,0.06750379743015451,3,0.0035155407388921533,FC*
4.0,0.6,0.25,0.8581076893475007,0.07415489556346944,3,0.004241382470590804,FC*
4.0,0.6,0.5,0.9166605756619793,0.08079320015609463,3,0.0074358119115377486,FC*
4.0,0.6,0.75,0.9752134619764584,0.08548403711684904,3,0.007733575237460322,FC*
4.0,0.6,1.0,1.0315342363342552,0.09282552179828656,3,0.01279247187547472,FC*
4.0,0.6,1.35,1.1030955727156504,0.1033836882128109,3,0.021341711823793075,FC*
4.0,0.8,-0.25,0.705008190469453,0.03981770568856787,3,0.002225520150217708,FC*
4.0,0.8,0.0,0.7681515938589416,0.0430041021975189,3,0.002638530931603933,FC*
4.0,0.8,0.25,0.8399570008745462,0.04820664388001398,3,0.002981169063495992,FC*
