case,fast,sep,sigma,s1,s2,regime,mid_from,a_th,a_mid,bias
FC on-axis,True,2.5,0.05,1.24,1.72,FC,plateau_recentred,0.5,0.5242756832756448,0.024275683275644777
FC on-axis,True,2.5,0.09,1.24,1.72,FC,plateau_recentred,0.5,0.5242756832756447,0.024275683275644666
FC on-axis,True,2.8,0.05,1.24,1.72,FC,plateau_recentred,0.5,0.5137666166881605,0.013766616688160482
FC on-axis,True,2.8,0.09,1.24,1.72,FC,plateau_recentred,0.5,0.5137666166881605,0.013766616688160482
FC on-axis,True,3.1,0.05,1.24,1.72,FC,plateau_recentred,0.5,0.5084159986218393,0.008415998621839282
FC on-axis,True,3.1,0.09,1.24,1.72,FC,plateau_recentred,0.5,0.5084159986218393,0.008415998621839282
FC post-crossing,True,2.5,0.05,0.87,1.74,FC,plateau_recentred,0.5,0.5649873275376506,0.06498732753765057
FC post-crossing,True,2.5,0.09,0.87,1.74,FC,plateau_recentred,0.5,0.5649873275376508,0.0649873275376508
FC post-crossing,True,2.8,0.05,0.87,1.74,FC,plateau_recentred,0.5,0.5571835451232764,0.05718354512327639
FC post-crossing,True,2.8,0.09,0.87,1.74,FC,plateau_recentred,0.5,0.5571835451232763,0.05718354512327628
FC post-crossing,True,3.1,0.05,0.87,1.74,FC,plateau_recentred,0.5,0.5407224318586422,0.040722431858642216
FC post-crossing,True,3.1,0.09,0.87,1.74,FC,plateau_recentred,0.5,0.5407224318586422,0.040722431858642216
SC on-axis,False,4.0,0.05,1.11,1.61,SC,plateau_recentred,0.25,0.24003131917992615,-0.00996868082007385
SC on-axis,False,4.0,0.09,1.11,1.61,SC,plateau_recentred,0.25,0.24003131917992615,-0.00996868082007385
SC on-axis,False,4.4,0.05,1.11,1.61,SC,plateau_recentred,0.25,0.2430936234469167,-0.006906376553083293
SC on-axis,False,4.4,0.09,1.11,1.61,SC,plateau_recentred,0.25,0.2430936234469167,-0.006906376553083293
SC on-axis,False,4.8,0.05,1.11,1.61,SC,plateau_recentred,0.25,0.24439597822009249,-0.005604021779907514
SC on-axis,False,4.8,0.09,1.11,1.61,SC,plateau_recentred,0.25,0.24439597822009249,-0.005604021779907514
SC post-crossing,False,4.0,0.05,0.58,1.47,SC,plateau_recentred,0.25,0.2410897446753185,-0.00891025532468151
SC post-crossing,False,4.0,0.09,0.58,1.47,SC,plateau_recentred,0.25,0.2410897446753185,-0.00891025532468151
SC post-crossing,False,4.4,0.05,0.58,1.47,SC,plateau_recentred,0.25,0.24879698651744558,-0.0012030134825544159
SC post-crossing,False,4.4,0.09,0.58,1.47,SC,plateau_recentred,0.25,0.24879698651744578,-0.0012030134825542216
SC post-crossing,False,4.8,0.05,0.58,1.47,SC,plateau_recentred,0.25,0.2525235593034156,0.002523559303415579
SC post-crossing,False,4.8,0.09,0.58,1.47,SC,plateau_recentred,0.25,0.2525235593034157,0.00252355930341569
