depth,s2,regime,mid_from,a_mid,bias,dex_mid
2.0,1.0,,,,,
2.0,1.4,,,,,
2.0,1.8,VFC,plateau,0.47336005427452515,-0.026639945725474845,1.545454545454544
2.0,2.2,VFC,plateau,0.4824484598960609,-0.01755154010393911,1.6060606060606046
2.0,2.6,VFC,plateau,0.4871721161866849,-0.012827883813315122,1.6666666666666652
2.0,3.2,VFC,plateau,0.4914452766808875,-0.0085547233191125,1.7272727272727257
2.0,4.0,VFC,plateau,0.4942463309684923,-0.005753669031507702,1.7878787878787863
2.0,5.0,VFC,plateau,0.49655678987788665,-0.0034432101221133493,1.8181818181818166
3.0,1.0,VFC,plateau,0.46389062097434214,-0.03610937902565786,2.18181818181818
3.0,1.4,VFC,plateau,0.4796223856584454,-0.020377614341554606,2.424242424242422
3.0,1.8,VFC,plateau,0.4874565495060992,-0.01254345049390082,2.545454545454543
3.0,2.2,VFC,plateau,0.49200435103325035,-0.007995648966749647,2.6060606060606037
3.0,2.6,VFC,plateau,0.49423056882935756,-0.005769431170642436,2.6666666666666643
3.0,3.2,VFC,plateau,0.4961866021210603,-0.003813397878939695,2.727272727272725
3.0,4.0,VFC,plateau,0.49743827486528697,-0.002561725134713033,2.7878787878787854
3.0,5.0,VFC,plateau,0.4984745773413045,-0.0015254226586954855,2.8181818181818157
4.0,1.0,VFC,plateau,0.4781176578247495,-0.02188234217525048,3.181818181818179
4.0,1.4,VFC,plateau,0.4881926889496691,-0.011807311050330893,3.424242424242421
4.0,1.8,VFC,plateau,0.4928652866272209,-0.0071347133727791,3.5454545454545423
4.0,2.2,VFC,plateau,0.4954991900251657,-0.004500809974834319,3.606060606060603
4.0,2.6,VFC,plateau,0.4967597510636876,-0.0032402489363124176,3.6666666666666634
4.0,3.2,VFC,plateau,0.4978609144386193,-0.0021390855613807047,3.727272727272724
4.0,4.0,VFC,plateau,0.49856109700150986,-0.0014389029984901436,3.7878787878787845
4.0,5.0,VFC,plateau,0.4991444607453534,-0.0008555392546465979,3.818181818181815
5.0,1.0,VFC,plateau,0.4856025356939333,-0.014397464306066698,4.181818181818178
5.0,1.4,VFC,plateau,0.49238002919965806,-0.007619970800341935,4.42424242424242
5.0,1.8,VFC,plateau,0.49542659494105196,-0.0045734050589480435,4.545454545454541
5.0,2.2,VFC,plateau,0.49712695026734544,-0.0028730497326545645,4.606060606060602
5.0,2.6,VFC,plateau,0.4979321527651349,-0.0020678472348650834,4.6666666666666625
5.0,3.2,VFC,plateau,0.49863478667294614,-0.0013652133270538602,4.727272727272723
5.0,4.0,VFC,plateau,0.4990804802187425,-0.0009195197812574829,4.787878787878784
5.0,5.0,VFC,plateau,0.4994536215869409,-0.000546378413059101,4.818181818181814
6.0,1.0,VFC,plateau,0.4898966058242164,-0.010103394175783598,5.181818181818177
6.0,1.4,VFC,plateau,0.49469774716453696,-0.005302252835463039,5.424242424242419
6.0,1.8,VFC,plateau,0.4968264342402236,-0.0031735657597763978,5.5454545454545405
6.0,2.2,VFC,plateau,0.4980104077689336,-0.0019895922310663727,5.606060606060601
6.0,2.6,VFC,plateau,0.4985677195627576,-0.001432280437242417,5.666666666666662
6.0,3.2,VFC,plateau,0.49905408318630057,-0.0009459168136994323,5.727272727272722
6.0,4.0,VFC,plateau,0.49936223729027013,-0.0006377627097298721,5.787878787878783
6.0,5.0,VFC,plateau,0.49962116494245556,-0.00037883505754443547,5.818181818181813
6.5,1.0,VFC,plateau,0.49154146649969,-0.008458533500310006,5.666666666666662
6.5,1.4,VFC,plateau,0.4956143341788423,-0.0043856658211576804,5.909090909090904
6.5,1.8,VFC,plateau,0.4974028583061726,-0.0025971416938274094,6.030303030303025
6.5,2.2,VFC,plateau,0.49822065595071097,-0.0017793440492890333,6.121212121212116
6.5,2.6,VFC,plateau,0.4987061745917793,-0.0012938254082207057,6.181818181818176
6.5,3.2,VFC,plateau,0.4991326105526384,-0.0008673894473615884,6.242424242424237
6.5,4.0,VFC,plateau,0.49950576430368,-0.0004942356963200112,6.272727272727267
6.5,5.0,VFC,plateau,0.49963667575349924,-0.00036332424650076245,6.333333333333328
