log_aum	Tf	t_max	lfac_A	lfac_x_b	lfac_alpha	lfac_s	ShSt_A	ShSt_x_b	ShSt_alpha	ShSt_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
-1.000000000000000000e+00	9.322711537941266613e+00	9.888152899006611551e+04	9.953026568775391603e-01	2.714629045726308476e+00	5.384669904535753504e-03	1.986614404547843715e-01	8.009132830962181204e-01	2.704765604211611052e+00	2.665427003044607002e-01	2.178112111839888287e-01	5.887714764535063594e-01	2.512592528534543401e+00	7.457530615601707380e-01	2.583124626834669146e-01	8.290477311496536883e-01	1.619111306660098171e+00	7.993103273649958540e-01	4.069074660223008788e-01	1.000000006652665120e-05	3.690409378782242844e-01	1.475702919181484107e+00
-9.000000000000000222e-01	9.357139822281533625e+00	7.916269312068179715e+04	9.943359962849184219e-01	2.646141628588443595e+00	7.019294328459273376e-03	2.295918785629043890e-01	8.099346148507358123e-01	2.640124246115450379e+00	2.715678592119347146e-01	2.456708118350545422e-01	6.046348728750791102e-01	2.443192900002533641e+00	7.524461405207473197e-01	2.816722557752692202e-01	8.145507771173265965e-01	1.694610704066832341e+00	7.126901911896990072e-01	4.001259039089191116e-01	1.000000000000000251e-05	3.675634807350972588e-01	1.526749182680517292e+00
-8.000000000000000444e-01	9.387376951927580038e+00	6.684772791165462695e+04	9.934906281584076071e-01	2.581492065885666154e+00	8.631972564447832133e-03	2.504963870561721095e-01	8.169421266874168364e-01	2.587248624774721062e+00	2.753154137362663900e-01	2.632147448373221565e-01	6.168211854171302688e-01	2.394970780237612118e+00	7.562817723181876062e-01	2.956657656618617569e-01	8.077450999110094010e-01	1.748251077719698010e+00	6.601236491987076960e-01	3.949101294209037549e-01	1.000000000113879088e-05	3.668115593405275043e-01	1.560557190027102248e+00
-7.000000000000000666e-01	9.401997707393434212e+00	5.619153385330615856e+04	9.926095867571728126e-01	2.473160450211209671e+00	1.090820232931308600e-02	2.773238813045404982e-01	8.267731751216230718e-01	2.489913179301453727e+00	2.847038391092072684e-01	2.876564924344824914e-01	6.329658521801354576e-01	2.324619949464270086e+00	7.674108264266588098e-01	3.128064194003091214e-01	7.956391620856324565e-01	1.864826768598641049e+00	5.859885470290652210e-01	3.802570138380262921e-01	1.000000001698285217e-05	3.666648173712915848e-01	1.585034291996507916e+00
-5.000000000000000000e-01	9.475793495227177843e+00	4.026304927801206213e+04	9.923114084464276230e-01	1.936437802336202108e+00	2.074388332464126641e-02	3.721965451076481579e-01	8.661052128211026435e-01	2.051235491846696846e+00	3.434065028015562682e-01	3.682709818128322987e-01	6.841419067948181221e-01	2.101079398964152745e+00	8.151601786792880278e-01	3.567521278317104527e-01	7.765097907411387945e-01	2.214561802770168786e+00	4.318483037826483795e-01	3.291729040796482209e-01	1.000000000012220226e-05	3.650509761786435159e-01	1.659965999429275474e+00
-4.000000000000000222e-01	9.521390433916693041e+00	3.500816914975665713e+04	9.914058696967057438e-01	1.953620721170728380e+00	2.315436345764798273e-02	3.728794854300375716e-01	8.723828860416771303e-01	2.064362631535940462e+00	3.271429219034088232e-01	3.690916033632245519e-01	6.962646088901704999e-01	2.117044689360600085e+00	7.732945189794768748e-01	3.568568187533527891e-01	7.852308500132765268e-01	2.226352485519449864e+00	4.075528661210643944e-01	3.286928194811443715e-01	1.000000109919575422e-05	3.649492447008867435e-01	1.679612202750045746e+00
-3.000000000000000444e-01	9.546985736039902193e+00	3.084868487669633032e+04	9.903522616042810256e-01	2.020928819049404357e+00	2.457471296440085634e-02	3.642788001526022779e-01	8.771839704093535861e-01	2.124614485933602470e+00	3.007933331420384326e-01	3.605741954402511551e-01	7.092404488191296208e-01	2.152371153104894574e+00	7.196655206302781105e-01	3.518688281009509367e-01	7.971323378640537971e-01	2.221571435211470380e+00	3.847458440672865687e-01	3.298354458540319611e-01	1.000000000049297230e-05	3.650162216359752465e-01	1.690542642181736444e+00
-2.000000000000000666e-01	9.592346032940964662e+00	2.744872950164540089e+04	9.901492714830814057e-01	1.992568191400267752e+00	2.686068936979925034e-02	3.746717875432024059e-01	8.897627951779030209e-01	2.096503847132603848e+00	2.848035964065420145e-01	3.707052505344157756e-01	7.313741965783430166e-01	2.150871474240029446e+00	6.698978214481087212e-01	3.563626868218733867e-01	8.097427542447132032e-01	2.248579406661099345e+00	3.501452233411453396e-01	3.245401438827107410e-01	1.000000000007776522e-05	3.645498740352440814e-01	1.711110009431904277e+00
-1.000000000000000888e-01	9.605620555635123736e+00	2.484626468642312102e+04	9.905164215421869978e-01	1.944382655804096416e+00	2.918243886108225563e-02	3.782256274321045830e-01	9.051373864325134022e-01	2.038368071999625109e+00	2.738444346409163455e-01	3.748386587090500877e-01	7.624898552810941421e-01	2.095434210596121005e+00	6.394199662939943352e-01	3.606769908124045076e-01	8.271376626706817836e-01	2.235706720132720982e+00	3.203247493597886075e-01	3.245280255205166275e-01	1.000000000000669068e-05	3.642485616852018659e-01	1.725028014198261239e+00
0.000000000000000000e+00	9.583911225782431487e+00	2.275617980848762090e+04	9.900424868542556656e-01	2.109658728392881155e+00	2.639883586513305791e-02	3.654502665632181624e-01	9.122125001606653516e-01	2.190322292180075792e+00	2.241559645588091509e-01	3.625342651475348399e-01	7.829990384185090413e-01	2.203068816525741269e+00	5.351568670422857110e-01	3.509183704288026950e-01	8.452517745452213793e-01	2.275909371835283412e+00	2.747736599870623797e-01	3.153483222457862944e-01	1.000000000000565222e-05	3.640297573719840640e-01	1.724017057727591506e+00
9.999999999999986677e-02	9.574611225422614780e+00	2.116998215012942092e+04	9.918848071929697863e-01	1.991753979953108544e+00	2.744150135280647163e-02	3.774392669205258177e-01	9.333595967090175805e-01	2.068779441641951600e+00	2.110469122894221283e-01	3.742730538416290109e-01	8.259296355800708200e-01	2.108000889791610710e+00	4.926000479826662115e-01	3.585907168081654550e-01	8.702976466438441250e-01	2.216094798524209430e+00	2.419451795539232508e-01	3.155002250752887982e-01	1.000000197919625886e-05	3.628553437805923099e-01	1.741109423901922248e+00
1.999999999999998446e-01	9.516869798555664062e+00	1.996972944617093890e+04	9.952470512012557835e-01	1.738793371069832450e+00	2.990635049005629584e-02	4.054698871122653925e-01	9.616380896593348382e-01	1.805280172858351406e+00	2.118958384344496737e-01	4.031565783501336875e-01	8.799343783087220094e-01	1.916642536936991048e+00	4.665675281624367954e-01	3.770551719080013076e-01	8.943225400101234568e-01	2.206337726861312465e+00	1.972775704354110538e-01	3.050384062263594709e-01	1.000000000000016684e-05	3.635958573274507000e-01	1.711578417381582673e+00
2.999999999999998224e-01	9.475009299507057392e+00	1.901108954444626943e+04	9.978122943545971735e-01	1.644651710143731238e+00	2.760702573873789756e-02	4.130707817807146021e-01	9.818048979532537635e-01	1.702949300597197180e+00	1.832083827617869976e-01	4.106698911619066084e-01	9.283280965604839841e-01	1.803800053867419484e+00	4.002369545942202622e-01	3.813474144477362326e-01	9.245103950725365172e-01	2.071934827959066805e+00	1.627091891271312263e-01	2.969347715181104297e-01	1.000000276164373502e-05	3.618281843840020495e-01	1.708523733140172807e+00
3.999999999999998002e-01	9.397281611231687037e+00	1.831967411370587070e+04	1.018484828541745824e+00	7.168073912146395443e-01	7.235070988704558892e-02	4.993763335641479006e-01	1.127817835029824911e+00	7.162428722499677436e-01	4.734673102983171789e-01	5.027146006726742611e-01	1.077581056244507618e+00	1.090018881993459532e+00	6.237779802290658315e-01	4.369177613297879903e-01	9.478765785542956346e-01	2.071999328582111222e+00	1.106293898152943267e-01	2.396210903294711259e-01	1.000000000001129685e-05	3.599953974152855229e-01	1.713456822889943165e+00
4.999999999999997780e-01	9.329940678633040108e+00	1.779806518671914819e+04	1.018982201383599850e+00	6.934066778724857771e-01	7.008275869993894902e-02	4.441310831684079918e-01	1.126081337407409011e+00	6.938157251782378632e-01	4.420518183096189824e-01	4.451359928309919778e-01	1.270208949218318395e+00	7.525605302332050162e-01	1.062059810152536032e+00	3.894892295357630374e-01	9.700662152216914524e-01	2.057758739298150008e+00	5.865116576780839835e-02	9.286138898490554905e-02	1.000000049046502008e-05	3.582559211886897632e-01	1.705122856387126795e+00
5.999999999999999778e-01	9.257458599612041539e+00	1.741192513341282029e+04	1.018126885435861384e+00	7.683530055217754340e-01	7.968464735183160286e-02	3.060963038407096271e-01	1.114827104963086235e+00	7.724771289253099527e-01	4.814596790581065489e-01	3.061649703378765963e-01	1.018877121508960704e+00	1.940701919729665326e+00	1.034500023876908648e-01	9.305464671533920928e-02	3.326569329630135741e-01	1.650269091092006590e+00	6.150012063106984755e-02	9.592936041395957666e-03	1.000000000003388552e-05	5.307525734050030586e+00	9.999985092876862325e+01
