log_aum	Tf	t_max	lfac_A	lfac_x_b	lfac_alpha	lfac_s	ShSt_A	ShSt_x_b	ShSt_alpha	ShSt_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
-1.000000000000000000e+00	9.055688425790410889e+00	1.045211629339075898e+03	1.005003773522019639e+00	2.138109293599462557e+00	-9.295873215439048182e-03	2.957693091348685410e-01	8.037089665093014590e-01	2.247178593450156470e+00	3.772722810779469138e-01	2.893572799447126642e-01	5.852838321785587272e-01	2.192757201774155895e+00	9.805306180088818602e-01	3.011499694566511787e-01	7.511164611795079216e-01	2.016733416694495684e+00	6.298566077555358689e-01	3.597091339965201584e-01	3.129171407310437636e-01	1.292927159914690982e+00	1.100110658101668415e+00
-9.000000000000000222e-01	9.028132591838641474e+00	8.447741885337343319e+02	1.006690628021042588e+00	2.205941275156611425e+00	-1.087933481408825086e-02	2.760302617388416535e-01	7.942307977255337326e-01	2.295827071646743711e+00	3.576546228937330096e-01	2.715890334331433342e-01	5.703072582696663284e-01	2.216641983836419083e+00	9.439254210987804150e-01	2.879032731528391453e-01	7.351740054288662396e-01	2.059641031801769273e+00	6.155317214152439265e-01	3.390919792913050235e-01	3.115608665906476338e-01	1.351222925767545213e+00	1.059574192140944726e+00
-8.000000000000000444e-01	8.945967173143024809e+00	6.933098986267071950e+02	1.008085793471778180e+00	2.103943683251586094e+00	-1.462399341490101465e-02	2.909617688862830565e-01	7.992803385912649050e-01	2.202046947025913415e+00	3.809969162706005608e-01	2.862522135236703624e-01	5.778241551716698510e-01	2.134181096858047688e+00	9.956607096296971049e-01	3.009971310324238702e-01	7.432001892884875227e-01	2.022630941061950072e+00	6.479058006914381052e-01	3.542230297553181639e-01	3.120519028123808769e-01	1.338205111896098476e+00	1.031706212325810723e+00
-6.999999999999999556e-01	8.864549545417551357e+00	5.711082952371253896e+02	1.010143536348584226e+00	2.067381743325239718e+00	-1.907728172574317191e-02	2.953208927868268274e-01	8.002343466572073849e-01	2.163308828972460685e+00	3.941000369355341926e-01	2.915063998142718993e-01	5.799236996967507274e-01	2.088830804190864310e+00	1.033576330951441635e+00	3.072222917109976303e-01	7.441584898998720998e-01	2.027744469745230482e+00	6.631819902608022677e-01	3.621331140769587509e-01	3.126324848373963072e-01	1.338040083892473975e+00	1.008542738090822510e+00
-5.999999999999999778e-01	8.783872902984795061e+00	4.793608962353167158e+02	1.013199431636795822e+00	2.126019264489316107e+00	-2.297981151316730655e-02	2.862135461305508333e-01	7.935796802123287197e-01	2.222009384315954073e+00	3.812904798853570809e-01	2.821660230495227073e-01	5.683513077344265474e-01	2.135526678659915856e+00	1.007739554674262461e+00	3.005177958548793105e-01	7.432333885889287339e-01	2.022201412574755164e+00	6.742144056138668073e-01	3.694300176173571093e-01	3.136500487315486696e-01	1.375098458443760441e+00	9.760640950931661619e-01
-5.000000000000000000e-01	8.666382664228345689e+00	4.060577071818751165e+02	1.016451971816705102e+00	2.064124862001102567e+00	-3.044721433165156754e-02	2.898208991574892091e-01	7.943313541923922028e-01	2.157123219282383264e+00	4.033487973338417132e-01	2.865823916345154876e-01	5.718164564346044365e-01	2.058910534249302149e+00	1.077078671782657482e+00	3.074048904648402081e-01	7.398096243393350591e-01	2.023941214731966198e+00	6.886941752445406850e-01	3.716753923654231295e-01	3.145279455639223287e-01	1.381814987956194951e+00	9.604739429260376049e-01
-4.000000000000000222e-01	8.535586530621802837e+00	3.486093855479102785e+02	1.021050900977740872e+00	2.060258696949319290e+00	-3.855942794578737925e-02	2.856356104185469036e-01	7.902935744862502609e-01	2.152879338277275068e+00	4.091850772236412248e-01	2.823100157456266968e-01	5.663126697403135790e-01	2.041075949832165115e+00	1.105965367040850467e+00	3.063194460079851633e-01	7.362115930614386849e-01	2.011880078930920135e+00	7.056011744797016094e-01	3.736288029304731251e-01	3.160271164769297148e-01	1.412173495008320456e+00	9.370685961568593347e-01
-2.999999999999999889e-01	8.381234249400222325e+00	3.039059333492438100e+02	1.026534194319587368e+00	2.023800914766206827e+00	-5.006100901449256346e-02	2.838384793715895693e-01	7.882652465739042880e-01	2.113585918949890896e+00	4.270579342837303449e-01	2.808997144508279531e-01	5.637432306306596752e-01	1.997769114905487919e+00	1.162901041281457104e+00	3.065626738325218370e-01	7.313716936718230865e-01	2.001191732053316130e+00	7.262969851528859877e-01	3.723534341115818935e-01	3.177295351346681729e-01	1.451133174213344645e+00	9.157863510189473422e-01
-2.000000000000000111e-01	8.179764341775442205e+00	2.687202886135223139e+02	1.033779155397499983e+00	2.015625779656875949e+00	-6.326240608766811602e-02	2.786327338405508169e-01	7.840255483847379248e-01	2.101780867123460350e+00	4.365682804671142669e-01	2.761365265355542054e-01	5.554035578560346798e-01	1.989404329191326370e+00	1.191416831685600641e+00	3.028385150039323293e-01	7.260959829396872456e-01	1.989404329182370201e+00	7.442249591007865650e-01	3.733251481570927788e-01	3.195194106930228650e-01	1.479289171444572837e+00	8.912238050600195249e-01
-1.000000000000000056e-01	7.958893737642213750e+00	2.410848061394852095e+02	1.042172402105665530e+00	1.982221261263139356e+00	-8.098364801544932767e-02	2.769108946486925626e-01	7.845308823862283676e-01	2.034051150684985654e+00	4.651779968767980611e-01	2.790425071869651608e-01	5.472988722729509314e-01	1.978922947294984747e+00	1.226313931465945917e+00	2.983360767305777150e-01	7.204810004609590868e-01	1.978922947294986967e+00	7.656527913062566304e-01	3.717302091182841384e-01	3.218731938261177317e-01	1.528405239852926423e+00	8.634853950752707785e-01
