t nact i x dx dlx rho vx p D sx tau trac Sd gmin gmax
1.000000000000000e+02 2000 0 3.418198065543063e-02 1.651142271230853e-03 1.651142271230853e-03 8.278090954179530e-09 9.999500000000000e-01 8.144258988595877e-15 8.278194432256503e-07 8.277916572952902e-05 8.195548544340386e-05 0.000000000000000e+00 0.000000000000000e+00 9.999999999999999e-01 9.999999999999999e-01
1.000000000000000e+02 2000 1 3.583312292666149e-02 1.651142271230853e-03 1.651142271230853e-03 7.532780682455696e-09 9.999500000000000e-01 7.181553743038298e-15 7.532874843979602e-07 7.532621083727015e-05 7.457668984455743e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 2 3.748426519789234e-02 1.651142271230853e-03 1.651142271230853e-03 6.883774549748123e-09 9.999500000000000e-01 6.368641978829812e-15 6.883860598543269e-07 6.883627925012659e-05 6.815133516996544e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 3 3.913540746912320e-02 1.651142271230853e-03 1.651142271230853e-03 6.315168198108572e-09 9.999500000000000e-01 5.677073889440869e-15 6.315247139191064e-07 6.315033022684113e-05 6.252196318164000e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 4 4.078654974035405e-02 1.651142271230853e-03 1.651142271230853e-03 5.814209880570200e-09 9.999500000000000e-01 5.084702998208839e-15 5.814282559556320e-07 5.814084859992481e-05 5.756232752667385e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 5 4.243769201158490e-02 1.651142271230853e-03 1.651142271230853e-03 5.370579239624081e-09 9.999500000000000e-01 4.574105273179898e-15 5.370646373123220e-07 5.370463267749841e-05 5.317025340151415e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 6 4.408883428281575e-02 1.651142271230853e-03 1.651142271230853e-03 4.975851487651175e-09 9.999500000000000e-01 4.131437592845217e-15 4.975913686960907e-07 4.975743613591009e-05 4.926233275928916e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 7 4.573997655404660e-02 1.651142271230853e-03 1.651142271230853e-03 4.623094454903514e-09 9.999500000000000e-01 3.745602385280299e-15 4.623152244667664e-07 4.622993856687414e-05 4.576993495117075e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 8 4.739111882527745e-02 1.651142271230853e-03 1.651142271230853e-03 4.306562142777334e-09 9.999500000000000e-01 3.407628761931472e-15 4.306615975813400e-07 4.306468106206193e-05 4.263617280279316e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 9 4.904226109650831e-02 1.651142271230853e-03 1.651142271230853e-03 4.021459244118611e-09 9.999500000000000e-01 3.110208803234992e-15 4.021509513301628e-07 4.021371145648050e-05 3.981357128815226e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 10 5.069340336773916e-02 1.651142271230853e-03 1.651142271230853e-03 3.763758451216049e-09 9.999500000000000e-01 2.847346423655861e-15 3.763805499078760e-07 3.763675744003156e-05 3.726225881924494e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 11 5.234454563897002e-02 1.651142271230853e-03 1.651142271230853e-03 3.530057448227025e-09 9.999500000000000e-01 2.614088871635371e-15 3.530101574772429e-07 3.529979650678402e-05 3.494855142477193e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 12 5.399568791020087e-02 1.651142271230853e-03 1.651142271230853e-03 3.317466033530200e-09 9.999500000000000e-01 2.406319538180524e-15 3.317507502633097e-07 3.317392719843271e-05 3.284383522506196e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 13 5.564683018143172e-02 1.651142271230853e-03 1.651142271230853e-03 3.123516329620786e-09 9.999500000000000e-01 2.220596708525847e-15 3.123555374306931e-07 3.123447121924938e-05 3.092367748124914e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 14 5.729797245266258e-02 1.651142271230853e-03 1.651142271230853e-03 2.946090837275955e-09 9.999500000000000e-01 2.054027065486900e-15 2.946127664101864e-07 2.946025399066402e-05 2.916711430855366e-05 0.000000000000000e+00 0.000000000000000e+00 9.999999999999999e-01 9.999999999999999e-01
