t nact i x dx dlx rho vx p D sx tau trac Sd
1.003547944681137e+03 2000 0 3.446791411824938e+00 2.021861554465154e-03 2.021861554465154e-03 4.720418466389339e-11 9.999262523577104e-01 1.000004381319172e-10 3.886864847540884e-09 2.788466599855517e-06 2.784685392573980e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 1 3.448704006826966e+00 1.803328449589969e-03 1.803328449589969e-03 4.719135103616174e-11 9.999262666001668e-01 1.000001072997402e-10 3.886183369346044e-09 2.788959791706778e-06 2.785179262881189e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 2 3.450499235228051e+00 1.787128352580325e-03 1.787128352580325e-03 4.711294893984128e-11 9.999263570031846e-01 1.000000005587681e-10 3.882107525907191e-09 2.792156600485263e-06 2.788380130882228e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 3 3.452305234125643e+00 1.824869442603738e-03 1.824869442603738e-03 4.704097944877751e-11 9.999264346195067e-01 1.000000005046522e-10 3.878221435859699e-09 2.794896842205239e-06 2.791124243545229e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 4 3.454089240867145e+00 1.743144040399880e-03 1.743144040399880e-03 4.697030155777416e-11 9.999264970593471e-01 1.000000005038498e-10 3.874038871509026e-09 2.797069108375428e-06 2.793300677420877e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 5 3.455823517285066e+00 1.725408795443251e-03 1.725408795443251e-03 4.690296551281012e-11 9.999265574634415e-01 1.000000005028626e-10 3.870075563252748e-09 2.799177221149954e-06 2.795412739360925e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 6 3.457556980487926e+00 1.741517610275967e-03 1.741517610275967e-03 4.683620543246117e-11 9.999266193855710e-01 1.000000005020067e-10 3.866197180843218e-09 2.801348584731961e-06 2.797587967316563e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 7 3.459305593344716e+00 1.755708103304610e-03 1.755708103304610e-03 4.676061071668962e-11 9.999267077707961e-01 1.000000005008075e-10 3.862283679910845e-09 2.804510837259959e-06 2.800754117496874e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 8 3.461082885302716e+00 1.798875812695222e-03 1.798875812695222e-03 4.669018687806296e-11 9.999267826349040e-01 1.000000005004945e-10 3.858437911539552e-09 2.807177214238677e-06 2.803424325495390e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 9 3.462854139250041e+00 1.743632081954161e-03 1.743632081954161e-03 4.662057854844957e-11 9.999268435073768e-01 1.000000004994987e-10 3.854288027878553e-09 2.809314158820710e-06 2.805565405399059e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 10 3.464661963291427e+00 1.872016000817212e-03 1.872016000817212e-03 4.655723974179013e-11 9.999269054891669e-01 1.000000004986065e-10 3.850683115216059e-09 2.811515437230428e-06 2.807770275482781e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 11 3.466466862045158e+00 1.737781506645497e-03 1.737781506645497e-03 4.648147056436128e-11 9.999269789096620e-01 1.000000004967112e-10 3.846348520193617e-09 2.814125888769759e-06 2.810385045796054e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 12 3.468215887842861e+00 1.760270088760230e-03 1.760270088760230e-03 4.640734989091656e-11 9.999270658737629e-01 1.000000004967017e-10 3.842503727000233e-09 2.817269615881777e-06 2.813532602239328e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 13 3.469990812043950e+00 1.789578313418083e-03 1.789578313418083e-03 4.633779786788083e-11 9.999271390864961e-01 1.000000004964488e-10 3.838671938044631e-09 2.819901794182555e-06 2.816168597835869e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 14 3.471746776735737e+00 1.722351070155614e-03 1.722351070155614e-03 4.626942711193943e-11 9.999271978335845e-01 1.000000004944391e-10 3.834554171094603e-09 2.821981985823870e-06 2.818252893012467e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 15 3.473530757246714e+00 1.845609951799609e-03 1.845609951799609e-03 4.620741210933495e-11 9.999272579644669e-01 1.000000004933133e-10 3.830997084236395e-09 2.824137605990509e-06 2.820412057368604e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 16 3.475314117808767e+00 1.721111172305445e-03 1.721111172305445e-03 4.613342054955726e-11 9.999273290399289e-01 1.000000004930551e-10 3.826732457750088e-09 2.826688411989644e-06 2.822967112621142e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 17 3.477045501300077e+00 1.741655810313603e-03 1.741655810313603e-03 4.606014130130699e-11 9.999274141297895e-01 1.000000004920823e-10 3.822892671209424e-09 2.829792743459758e-06 2.826075268667291e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 18 3.478822446096506e+00 1.812233782544581e-03 1.812233782544581e-03 4.599246131286502e-11 9.999274855993903e-01 1.000000004911159e-10 3.819155983910986e-09 2.832388456242277e-06 2.828674704103810e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 19 3.480638852743609e+00 1.820579511663034e-03 1.820579511663034e-03 4.592650827713778e-11 9.999275442369970e-01 1.000000004901896e-10 3.815222142151635e-09 2.834492313692841e-06 2.830782481735216e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 20 3.482475106154248e+00 1.851927309614254e-03 1.851927309614254e-03 4.585810114490362e-11 9.999276149650818e-01 1.000000004889822e-10 3.811400048369891e-09 2.837066564831689e-06 2.833360540811342e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 21 3.484260104654795e+00 1.718069691479585e-03 1.718069691479585e-03 4.578545821954976e-11 9.999276844307936e-01 1.000000004886737e-10 3.807189678100460e-09 2.839584377343502e-06 2.835882548676269e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 22 3.485977045937075e+00 1.715812873080313e-03 1.715812873080313e-03 4.571332811296645e-11 9.999277680419942e-01 1.000000004869982e-10 3.803391152073466e-09 2.842665317117652e-06 2.838967272079454e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 23 3.487713342249187e+00 1.756779751145299e-03 1.756779751145299e-03 4.564684272807116e-11 9.999278381052835e-01 1.000000004860839e-10 3.799702697991136e-09 2.845235443915361e-06 2.841541073614606e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 24 3.489466784850181e+00 1.750105450841755e-03 1.750105450841755e-03 4.558272378601567e-11 9.999278950966910e-01 1.000000004860403e-10 3.795864528473584e-09 2.847301210207792e-06 2.843610664861806e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 25 3.491201107941243e+00 1.718540731280971e-03 1.718540731280971e-03 4.551407900108707e-11 9.999279633298346e-01 1.000000004847047e-10 3.791942714309598e-09 2.849802169624348e-06 2.846115531957975e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 26 3.492963240472418e+00 1.805724331069403e-03 1.805724331069403e-03 4.545291297822164e-11 9.999280202897783e-01 1.000000004841308e-10 3.788344730256148e-09 2.851882685213885e-06 2.848199632949305e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 27 3.494753532013534e+00 1.774858751162345e-03 1.774858751162345e-03 4.537653337686054e-11 9.999281121040580e-01 1.000000004831031e-10 3.784393041249828e-09 2.855306981317942e-06 2.851627865044280e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 28 3.496519705524959e+00 1.757488271689756e-03 1.757488271689756e-03 4.530509899334649e-11 9.999281904077088e-01 1.000000004825414e-10 3.780494861879635e-09 2.858216524116295e-06 2.854541291356998e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 29 3.498283921789636e+00 1.770944257664109e-03 1.770944257664109e-03 4.524116513898199e-11 9.999282474975607e-01 1.000000004810461e-10 3.776661385812025e-09 2.860308116982040e-06 2.856636704588017e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 30 3.500092031681532e+00 1.845275526125789e-03 1.845275526125789e-03 4.517497699743715e-11 9.999283177531764e-01 1.000000004795948e-10 3.772983626066123e-09 2.862922528587290e-06 2.859254780391812e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 31 3.501906525068808e+00 1.783711248427799e-03 1.783711248427799e-03 4.510488447789882e-11 9.999283862352846e-01 1.000000004793405e-10 3.768930247991701e-09 2.865460140656458e-06 2.861796431492956e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 32 3.503694858053278e+00 1.792954720510220e-03 1.792954720510220e-03 4.503016892176672e-11 9.999284780119509e-01 1.000000004786314e-10 3.765100342783029e-09 2.868923753223983e-06 2.865263858687840e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 33 3.505483568820773e+00 1.784466814482411e-03 1.784466814482411e-03 4.495889560787918e-11 9.999285571506185e-01 1.000000004779929e-10 3.761222365538936e-09 2.871898197122169e-06 2.868242166005936e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 34 3.507276296540351e+00 1.800988624671263e-03 1.800988624671263e-03 4.489503410964540e-11 9.999286152634673e-01 1.000000004767059e-10 3.757408194479892e-09 2.874053811400339e-06 2.870401581426083e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 35 3.509099291648295e+00 1.845001591218143e-03 1.845001591218143e-03 4.482839091692319e-11 9.999286856175816e-01 1.000000004758067e-10 3.753680747067834e-09 2.876698895380014e-06 2.873050379268787e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 36 3.510913758797707e+00 1.783932707605462e-03 1.783932707605462e-03 4.475880062600241e-11 9.999287560472289e-01 1.000000004748444e-10 3.749705626738283e-09 2.879344031744275e-06 2.875699476583001e-06 1.000000000000000e+00 0.000000000000000e+00
