,time,Nc_w,Nc_b,Nc_{sh},Nc_{ej},R_{ts},R_b,R_{sh},V_b,V_{sh},ShSt_{ts},ShSt_{sh},Emass_b,Emass_{sh},Ekin_b,Ekin_{sh},Eint_b,Eint_{sh}
0,0.0,487.0,0.0,1.0,312.0,4062094289.0584216,4073802778.0409746,4085545015.3081574,0.0,2.4418035210004402e+27,0.0,0.0,0.0,1.4712884342288508e+26,0.0,1.456575549888277e+28,0.0,3.3920774429433167e+21
1000,0.01923009206450388,605.0,72.0,1.0,312.0,3887014822.107059,4078850935.2985797,4086322488.4511256,3.867802605668748e+28,6.655343965903139e+26,94.5992366591047,7.17915464854002e-08,9.447375042134915e+29,1.471301069905892e+28,1.0655401439166882e+28,1.7295136451779835e+22,9.282777891825643e+31,1.681764889972539e+30
2000,0.038450549009795054,705.0,162.0,1.0,312.0,3708078020.4432006,4079709010.278013,4087107938.492412,7.114260668305654e+28,6.353721711813039e+26,3.480140004781127,6.391495777080536e-08,1.8911493526541663e+30,1.4712825169603927e+28,1.108826081798984e+28,1.7091069597691968e+22,1.8636122929301616e+32,1.7081973421601687e+30
3000,0.055322895953693774,768.0,265.0,1.0,312.0,3558410645.070842,4080459111.3007402,4087797433.489586,9.597624102126418e+28,6.1019872773876556e+26,23.477456197283956,1.036439977185411,5.8127131552510036e-08,2.712159926322126e+30,1.4712724876460266e+28,1.1608969854946176e+28,1.6932764031634586e+22,2.6745263146411354e+32
4000,0.06850128605340444,793.0,335.0,1.0,312.0,3449680012.361336,4081043042.9871387,4088335945.530558,1.1272577714706247e+29,5.913441753092205e+26,93.0303817174283,5.448373929795025e-08,3.347674589330576e+30,1.4712762173679632e+28,7.119036674280383e+27,1.6832206708852274e+22,3.301752905765813e+32,1.7499386484513342e+30
5000,0.08033910065830696,777.0,386.0,1.0,312.0,3353119371.364075,4081566114.5045733,4088819744.355261,1.2680368360899946e+29,5.750142563583217e+26,11.985314556287069,0.0,3.914115320472832e+30,1.4712882822358422e+28,6.664764900196703e+27,1.6714640897513663e+22,3.859765853011191e+32,1.7664886203495705e+30
6000,0.09185224148450288,749.0,446.0,1.0,312.0,3262516141.444455,4082073552.6585608,4089290300.069172,1.3937511866872194e+29,5.5966777378027115e+26,3.7774573303468513,4.823828136935049e-08,4.459245731456959e+30,1.4712892137730841e+28,9.164541294618033e+27,1.6649924880238415e+22,4.396567445559555e+32,1.7826232745857927e+30
7000,0.10329057111539441,722.0,507.0,1.0,312.0,3175828059.696986,4082576816.4470944,4089757755.8573656,1.5076833167669516e+29,5.4478557159179215e+26,29.063449754910028,0.6757312025511633,4.107307782774683e-08,4.996777967187167e+30,1.471295864073096e+28,1.1439210757271452e+28,1.6402958618080804e+22,4.925124225945427e+32
8000,0.11447671179310248,697.0,567.0,1.0,312.0,3094868230.8344593,4083067094.5569544,4090214955.714573,1.608833374757698e+29,5.310207007807462e+26,25.12659781853211,0.7932826726548978,5.3567768221185474e-08,5.517478195784586e+30,1.4713124805972039e+28,1.397502433475283e+28,1.6891885000391001e+22,5.436738475414697e+32
9000,0.12541879141780043,674.0,625.0,1.0,312.0,3020067212.2117114,4083547029.0473228,4090662140.997534,1.69748570980325e+29,5.1740666166076654e+26,5.491639479830448,4.1143168871826674e-08,6.022892221675646e+30,1.4713189946749227e+28,1.4501571858020514e+28,1.6405246714749703e+22,5.9327769194737465e+32,1.8302845009168362e+30
10000,0.1360378458437026,651.0,682.0,1.0,312.0,2950997236.8469677,4084010030.9650745,4091096173.625479,1.775579569779931e+29,5.05351274154706e+26,85.91427816037597,3.609959176031907e-08,6.508595720523155e+30,1.4713278984709947e+28,1.5317538874355436e+28,1.624783240200188e+22,6.409140161158125e+32,1.844841016271731e+30
